Report Number,Report Date,Occurred From,Occurred To,Address,City,State,ZIP,Latitude,Longitude,Offense,NIBRS Code,Office Status,Reporting Officer Name,District,(9) Location Type,(8a) Bias Motivated Crime
23-00001,01/01/2023 0026,01/01/2023 0026,01/01/2023 0240,  NOLAND/I70  ,INDEPENDENCE,MO,64055,,,ARREST REPORT,,ARREST,SGT. R. BERGER,,,
23-00001,01/01/2023 0026,01/01/2023 0026,01/01/2023 0240,  NOLAND/I70  ,INDEPENDENCE,MO,64055,,,ARREST REPORT,,ARREST,SGT. R. BERGER,,,
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,EXCEEDED POSTED SPEED LIMIT,90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,MINOR IN POSSESSION OF ALCOHOL,90G,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,MINOR IN POSSESSION OF ALCOHOL,90G,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,EXCEEDED POSTED SPEED LIMIT,90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,"TRAFFIC CONTROL DEVICE, OBEDIENCE TO",90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,CHANGE LANE-NOT SAFE,90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,"TRAFFIC CONTROL DEVICE, OBEDIENCE TO",90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,CHANGE LANE-NOT SAFE,90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00004,01/01/2023 0123,01/01/2023 0123,01/01/2023 0318,25010 E WOODLAND CIR  ,LEES SUMMIT,MO,,,,INFORMATION REPORT,,INCIDENT,Dep. K. Ford,4,,
23-00004,01/01/2023 0123,01/01/2023 0123,01/01/2023 0318,25010 E WOODLAND CIR  ,LEES SUMMIT,MO,,,,INFORMATION REPORT,,INCIDENT,Dep. K. Ford,4,,
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,CHANGE LANE-NOT SAFE,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,ASSAULT,13B,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,RESISTING ARREST,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,NO VALID INSURANCE,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,OBEDIENCE TO SHERIFF OR DEPUTY,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,NO VALID INSURANCE,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,RESISTING ARREST,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,CHANGE LANE-NOT SAFE,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,ASSAULT,13B,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,OBEDIENCE TO SHERIFF OR DEPUTY,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00006,01/01/2023 0438,01/01/2023 0438,01/01/2023 0516,  E38TH TER / BLUE RIDGE CUTOFF  ,KANSAS CITY,MO,64133,,,"TRAFFIC CONTROL DEVICE, OBEDIENCE TO",,INVESTIGATIVE,Dep. Coby,,,
23-00006,01/01/2023 0438,01/01/2023 0438,01/01/2023 0516,  E38TH TER / BLUE RIDGE CUTOFF  ,KANSAS CITY,MO,64133,,,VEHICLES ON ROADS TO BE LICENSED; DISPLAY REQUIRED,90Z,INVESTIGATIVE,Dep. Coby,,13,88
23-00006,01/01/2023 0438,01/01/2023 0438,01/01/2023 0516,  E38TH TER / BLUE RIDGE CUTOFF  ,KANSAS CITY,MO,64133,,,STEALING,23H,INVESTIGATIVE,Dep. Coby,,13,88
